step,agent,old_belief,new_belief,reason,channel
1,2,reject,believes,rumor evaluation,whatsapp
1,3,reject,believes,rumor evaluation,broadcast
1,3,believes,reject,rumor evaluation,broadcast
1,3,reject,believes,rumor evaluation,broadcast
1,3,believes,reject,rumor evaluation,broadcast
1,3,reject,believes,rumor evaluation,broadcast
1,3,believes,reject,rumor evaluation,broadcast
1,3,reject,believes,rumor evaluation,broadcast
1,4,believes,reject,rumor evaluation,direct
1,5,believes,reject,rumor evaluation,whatsapp
1,5,reject,believes,rumor evaluation,whatsapp
1,5,believes,reject,rumor evaluation,whatsapp
1,5,reject,believes,rumor evaluation,whatsapp
1,6,believes,reject,rumor evaluation,public_speech
1,6,reject,believes,rumor evaluation,public_speech
1,7,reject,believes,rumor evaluation,whatsapp
1,7,believes,reject,rumor evaluation,whatsapp
1,7,reject,believes,rumor evaluation,whatsapp
1,7,believes,reject,rumor evaluation,whatsapp
1,8,believes,reject,rumor evaluation,broadcast
1,8,reject,believes,rumor evaluation,broadcast
1,8,believes,reject,rumor evaluation,broadcast
1,8,reject,believes,rumor evaluation,broadcast
1,9,believes,reject,rumor evaluation,whatsapp
1,9,reject,believes,rumor evaluation,whatsapp
2,1,reject,believes,rumor evaluation,whatsapp
2,1,believes,reject,fact-check via Trusted Government News,broadcast
2,2,believes,reject,rumor evaluation,whatsapp
2,2,reject,believes,rumor evaluation,whatsapp
2,2,believes,reject,fact-check via Trusted Government News,broadcast
2,3,believes,reject,fact-check via Trusted Government News,broadcast
2,4,reject,believes,rumor evaluation,direct
2,5,believes,reject,fact-check via Trusted Government News,broadcast
2,5,reject,believes,rumor evaluation,direct
2,5,believes,reject,fact-check via Trusted Government News,broadcast
2,5,reject,believes,rumor evaluation,direct
2,5,believes,reject,fact-check via Trusted Government News,broadcast
2,6,believes,reject,fact-check via Trusted Government News,broadcast
2,7,reject,believes,rumor evaluation,whatsapp
2,7,believes,reject,fact-check via Trusted Government News,broadcast
2,8,believes,reject,fact-check via Trusted Government News,broadcast
2,9,believes,reject,fact-check via Trusted Government News,broadcast
2,9,reject,believes,rumor evaluation,direct
2,9,believes,reject,rumor evaluation,direct
2,9,reject,believes,rumor evaluation,direct
2,9,believes,reject,rumor evaluation,direct
3,0,reject,believes,rumor evaluation,public_speech
3,0,believes,reject,rumor evaluation,public_speech
3,0,reject,believes,rumor evaluation,public_speech
3,0,believes,reject,rumor evaluation,public_speech
3,1,reject,believes,rumor evaluation,whatsapp
3,1,believes,reject,rumor evaluation,whatsapp
3,1,reject,believes,rumor evaluation,whatsapp
3,1,believes,reject,rumor evaluation,whatsapp
3,2,reject,believes,rumor evaluation,whatsapp
3,2,believes,reject,rumor evaluation,whatsapp
3,2,reject,believes,rumor evaluation,whatsapp
3,2,believes,reject,rumor evaluation,whatsapp
3,2,reject,believes,rumor evaluation,whatsapp
3,3,reject,believes,rumor evaluation,broadcast
3,4,believes,reject,rumor evaluation,whatsapp
3,4,reject,believes,rumor evaluation,whatsapp
3,4,believes,reject,rumor evaluation,whatsapp
3,5,reject,believes,rumor evaluation,whatsapp
3,6,reject,believes,rumor evaluation,public_speech
3,6,believes,reject,rumor evaluation,public_speech
3,7,reject,believes,rumor evaluation,whatsapp
3,7,believes,reject,rumor evaluation,whatsapp
3,7,reject,believes,rumor evaluation,whatsapp
3,8,reject,believes,rumor evaluation,broadcast
3,8,believes,reject,rumor evaluation,broadcast
3,8,reject,believes,rumor evaluation,broadcast
3,8,believes,reject,rumor evaluation,broadcast
3,9,reject,believes,rumor evaluation,whatsapp
3,9,believes,reject,rumor evaluation,whatsapp
3,9,reject,believes,rumor evaluation,whatsapp
4,0,reject,believes,rumor evaluation,public_speech
4,0,believes,reject,rumor evaluation,public_speech
4,0,reject,believes,rumor evaluation,public_speech
4,1,reject,believes,rumor evaluation,whatsapp
4,1,believes,reject,rumor evaluation,whatsapp
4,1,reject,believes,rumor evaluation,whatsapp
4,1,believes,reject,rumor evaluation,whatsapp
4,1,reject,believes,rumor evaluation,whatsapp
4,2,believes,reject,rumor evaluation,whatsapp
4,2,reject,believes,rumor evaluation,whatsapp
4,3,believes,reject,rumor evaluation,broadcast
4,3,reject,believes,rumor evaluation,broadcast
4,3,believes,reject,rumor evaluation,broadcast
4,3,reject,believes,rumor evaluation,broadcast
4,4,reject,believes,rumor evaluation,direct
4,4,believes,reject,rumor evaluation,direct
4,4,reject,believes,rumor evaluation,direct
4,4,believes,reject,rumor evaluation,direct
4,5,believes,reject,rumor evaluation,direct
4,6,reject,believes,rumor evaluation,public_speech
4,6,believes,reject,rumor evaluation,public_speech
4,6,reject,believes,rumor evaluation,public_speech
4,7,believes,reject,rumor evaluation,whatsapp
4,7,reject,believes,rumor evaluation,whatsapp
4,9,believes,reject,rumor evaluation,direct
4,9,reject,believes,rumor evaluation,direct
4,9,believes,reject,rumor evaluation,direct
4,9,reject,believes,rumor evaluation,direct
